epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2511.92,0.35121,0.48859,0.93847,0.96469,0.95258,0.9708,0.94263,0.25893,0.1836,0.82372,7.09928e-05,7.09928e-05,7.09928e-05
2,5818.96,0.33109,0.45792,0.93559,0.95978,0.9701,0.98018,0.95199,0.2606,0.17612,0.82525,0.000132621,0.000132621,0.000132621
3,9197.19,0.32706,0.44787,0.93362,0.96477,0.95679,0.97729,0.9496,0.2609,0.18055,0.8239,0.000184878,0.000184878,0.000184878
4,11603.4,0.32492,0.4485,0.93369,0.95645,0.95403,0.97057,0.94323,0.25689,0.18201,0.82337,0.000170826,0.000170826,0.000170826
5,14056.6,0.32183,0.43714,0.93304,0.9586,0.95588,0.97472,0.94551,0.25754,0.18423,0.82489,0.000156768,0.000156768,0.000156768
6,16602.7,0.3606,0.15688,0.9584,0.96745,0.95738,0.97787,0.95153,0.25849,0.18357,0.82386,0.00014271,0.00014271,0.00014271
7,19014.4,0.35129,0.15211,0.95334,0.96799,0.95298,0.9748,0.95062,0.25272,0.18648,0.82265,0.000128652,0.000128652,0.000128652
8,21201.6,0.34734,0.14827,0.95024,0.96907,0.94898,0.9725,0.94697,0.25172,0.18207,0.8233,0.000114594,0.000114594,0.000114594
9,23970.6,0.3447,0.14657,0.94811,0.95904,0.95812,0.97112,0.94546,0.2533,0.18568,0.82378,0.000100536,0.000100536,0.000100536
10,26996.6,0.34131,0.1444,0.94589,0.96434,0.94268,0.96597,0.94085,0.25196,0.19101,0.82248,8.6478e-05,8.6478e-05,8.6478e-05
11,30054.3,0.33928,0.14406,0.94684,0.96977,0.94381,0.96954,0.94419,0.25002,0.18377,0.82211,7.242e-05,7.242e-05,7.242e-05
12,32329.6,0.33747,0.14176,0.94589,0.97219,0.94498,0.97278,0.94681,0.2493,0.18193,0.82175,5.8362e-05,5.8362e-05,5.8362e-05
13,34479.5,0.33381,0.14001,0.9425,0.97035,0.94823,0.96926,0.94301,0.24846,0.18434,0.82187,4.4304e-05,4.4304e-05,4.4304e-05
14,36584.1,0.33239,0.13834,0.94107,0.97043,0.94719,0.97184,0.94627,0.24917,0.18772,0.82217,3.0246e-05,3.0246e-05,3.0246e-05
15,38740.2,0.32947,0.13688,0.94082,0.97065,0.94717,0.9713,0.94583,0.24825,0.18676,0.82204,1.6188e-05,1.6188e-05,1.6188e-05
