epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,67544.4,0.37082,0.51266,0.94407,0.9476,0.9642,0.96844,0.93881,0.284,0.18325,0.82395,0.00406,0.00406,0.00406
32,69743.3,0.37071,0.50866,0.94518,0.96081,0.95129,0.96853,0.93927,0.28319,0.18326,0.82396,0.003862,0.003862,0.003862
33,71940.6,0.36603,0.49841,0.94225,0.95949,0.95208,0.96845,0.93943,0.28239,0.18366,0.8239,0.003664,0.003664,0.003664
34,74141.5,0.36299,0.49661,0.94181,0.95809,0.95224,0.96831,0.93948,0.2817,0.18379,0.82393,0.003466,0.003466,0.003466
35,76341.8,0.36181,0.4887,0.94274,0.95741,0.95288,0.96829,0.93983,0.28092,0.18393,0.82387,0.003268,0.003268,0.003268
36,78539.7,0.35866,0.48728,0.94214,0.95806,0.95296,0.96844,0.94018,0.28001,0.18376,0.8238,0.00307,0.00307,0.00307
37,80742.1,0.3556,0.47603,0.94057,0.95822,0.95252,0.96867,0.94069,0.279,0.18374,0.82367,0.002872,0.002872,0.002872
38,82939.2,0.3523,0.47227,0.93984,0.95813,0.95223,0.96884,0.94102,0.27811,0.18407,0.82348,0.002674,0.002674,0.002674
39,85147.9,0.34894,0.46839,0.93929,0.95861,0.95126,0.96886,0.94113,0.27723,0.18419,0.82338,0.002476,0.002476,0.002476
40,87351.5,0.34728,0.46164,0.93913,0.958,0.95129,0.9689,0.94128,0.27657,0.18425,0.82336,0.002278,0.002278,0.002278
41,89501.6,0.40344,0.19963,0.98415,0.95708,0.95174,0.96888,0.94126,0.27568,0.1841,0.82325,0.00208,0.00208,0.00208
42,91647.8,0.39302,0.18987,0.97552,0.94468,0.96348,0.96899,0.94181,0.27471,0.1838,0.82317,0.001882,0.001882,0.001882
43,93798,0.38496,0.18269,0.97085,0.95399,0.95379,0.96922,0.94211,0.2737,0.18328,0.82306,0.001684,0.001684,0.001684
44,95949.1,0.37929,0.17872,0.96572,0.94498,0.96245,0.96941,0.94264,0.27248,0.18273,0.82294,0.001486,0.001486,0.001486
45,98093.4,0.37354,0.17403,0.96295,0.94484,0.96314,0.96976,0.94324,0.27122,0.18253,0.82275,0.001288,0.001288,0.001288
46,100229,0.3696,0.16805,0.96282,0.94508,0.96169,0.96983,0.94381,0.26982,0.18226,0.82242,0.00109,0.00109,0.00109
47,102383,0.36423,0.16475,0.95804,0.94559,0.9604,0.97001,0.94412,0.26853,0.18196,0.82221,0.000892,0.000892,0.000892
48,104529,0.35953,0.15895,0.95633,0.95439,0.9512,0.97012,0.94452,0.26734,0.18181,0.82204,0.000694,0.000694,0.000694
49,106682,0.35424,0.15636,0.95292,0.95648,0.95069,0.9704,0.94516,0.26615,0.18176,0.8219,0.000496,0.000496,0.000496
50,108819,0.34961,0.15171,0.95075,0.95759,0.95012,0.97077,0.94558,0.26489,0.1811,0.82177,0.000298,0.000298,0.000298
