epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2239.66,0.45992,0.61341,0.9959,0.93274,0.94684,0.96339,0.90859,0.36598,0.24679,0.84793,0.00333299,0.00333299,0.00333299
2,4410.84,0.44133,0.60064,0.98038,0.9135,0.94822,0.95417,0.90109,0.36325,0.25475,0.84391,0.00653433,0.00653433,0.00653433
3,6589.74,0.4627,0.65719,0.98508,0.91898,0.95097,0.95117,0.88966,0.37525,0.25979,0.85059,0.00960367,0.00960367,0.00960367
4,8746.72,0.48192,0.72135,0.99424,0.91673,0.93874,0.94405,0.88618,0.3761,0.26526,0.85094,0.009406,0.009406,0.009406
5,10914.5,0.47521,0.70216,0.99075,0.9235,0.9441,0.95835,0.91002,0.34433,0.24058,0.84254,0.009208,0.009208,0.009208
6,13076.8,0.46528,0.68479,0.98198,0.92231,0.94709,0.95594,0.91027,0.33496,0.2338,0.83814,0.00901,0.00901,0.00901
7,15240.9,0.46096,0.67778,0.97906,0.93234,0.95122,0.95399,0.91065,0.33098,0.22459,0.83684,0.008812,0.008812,0.008812
8,17404.3,0.45475,0.6674,0.97343,0.94005,0.96002,0.96923,0.92686,0.32709,0.20842,0.83337,0.008614,0.008614,0.008614
9,19565.5,0.44939,0.64901,0.97079,0.94017,0.9418,0.95612,0.91617,0.31643,0.21127,0.83086,0.008416,0.008416,0.008416
10,21733.2,0.44524,0.64337,0.96954,0.93979,0.94466,0.95751,0.91828,0.31941,0.21206,0.83148,0.008218,0.008218,0.008218
11,23914.6,0.43945,0.62781,0.96608,0.9529,0.95303,0.96732,0.92813,0.31448,0.20286,0.83059,0.00802,0.00802,0.00802
12,26087,0.43572,0.62453,0.96481,0.94477,0.94489,0.95869,0.92105,0.31192,0.20672,0.82921,0.007822,0.007822,0.007822
13,28260.5,0.42935,0.61458,0.96225,0.94274,0.95314,0.95924,0.92235,0.3113,0.20522,0.82911,0.007624,0.007624,0.007624
14,30430.3,0.42654,0.60691,0.96148,0.95019,0.95559,0.96742,0.93221,0.30722,0.19936,0.82883,0.007426,0.007426,0.007426
15,32606.3,0.42188,0.59735,0.95901,0.95586,0.95035,0.96517,0.93147,0.3056,0.19578,0.82778,0.007228,0.007228,0.007228
16,34777.4,0.4198,0.59772,0.95816,0.96402,0.95079,0.96704,0.93368,0.3016,0.19302,0.82671,0.00703,0.00703,0.00703
17,36947.5,0.41467,0.58315,0.95675,0.96467,0.95121,0.96512,0.93206,0.2998,0.19082,0.8261,0.006832,0.006832,0.006832
18,39118.4,0.41179,0.58549,0.95518,0.95604,0.95437,0.96486,0.93233,0.29833,0.18863,0.82546,0.006634,0.006634,0.006634
19,41304.7,0.40888,0.57612,0.95563,0.95107,0.95824,0.96559,0.93368,0.2963,0.18852,0.82523,0.006436,0.006436,0.006436
20,43485.6,0.40486,0.5685,0.95357,0.95153,0.95758,0.96642,0.93444,0.29538,0.18834,0.82525,0.006238,0.006238,0.006238
21,45662.8,0.40355,0.56643,0.95261,0.95136,0.95842,0.96705,0.93557,0.29438,0.18778,0.82525,0.00604,0.00604,0.00604
22,47849.3,0.39939,0.56354,0.95259,0.94944,0.95517,0.96687,0.93591,0.29308,0.18892,0.82538,0.005842,0.005842,0.005842
23,50035.9,0.3957,0.55995,0.95125,0.95308,0.95176,0.96705,0.9364,0.29161,0.18884,0.82501,0.005644,0.005644,0.005644
24,52214,0.39384,0.54856,0.94963,0.95876,0.94925,0.96777,0.93713,0.29035,0.18719,0.8247,0.005446,0.005446,0.005446
25,54396.7,0.38909,0.54365,0.9489,0.96038,0.94951,0.96826,0.93764,0.28958,0.18613,0.8245,0.005248,0.005248,0.005248
26,56580.4,0.38598,0.54202,0.94868,0.95889,0.95177,0.96845,0.93819,0.28858,0.18536,0.82435,0.00505,0.00505,0.00505
27,58769,0.38465,0.53504,0.94744,0.95763,0.95386,0.96905,0.93884,0.28784,0.18447,0.82414,0.004852,0.004852,0.004852
28,60967.3,0.38061,0.52735,0.94714,0.95649,0.95475,0.96887,0.93877,0.28682,0.18371,0.82409,0.004654,0.004654,0.004654
29,63163.3,0.3794,0.52335,0.94669,0.95228,0.95934,0.96875,0.93874,0.28586,0.18377,0.82411,0.004456,0.004456,0.004456
30,65354.1,0.37592,0.51717,0.94654,0.95996,0.95185,0.96877,0.93909,0.28497,0.1832,0.82402,0.004258,0.004258,0.004258
