epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1351.56,0.87031,1.25691,1.24869,0.85209,0.88248,0.91268,0.78792,0.58657,0.51269,0.88081,0.00333197,0.00333197,0.00333197
2,2604.85,0.56393,0.83507,1.0095,0.8345,0.92637,0.90783,0.82211,0.46329,0.42587,0.82327,0.00644535,0.00644535,0.00644535
3,3847.53,0.55507,0.81916,1.00795,0.85137,0.9355,0.90821,0.80887,0.52016,0.3989,0.84088,0.00933873,0.00933873,0.00933873
4,5090.18,0.54755,0.82669,1.00494,0.86653,0.93991,0.9163,0.83779,0.43758,0.36329,0.8049,0.00901,0.00901,0.00901
5,6318.5,0.52524,0.77858,0.99483,0.88475,0.953,0.94057,0.86594,0.43592,0.31849,0.80132,0.00868,0.00868,0.00868
6,7551.31,0.50913,0.7427,0.9858,0.88762,0.92997,0.925,0.86259,0.38683,0.28948,0.78502,0.00835,0.00835,0.00835
7,8788.89,0.49615,0.71903,0.98137,0.87583,0.97025,0.92575,0.8668,0.38647,0.26516,0.78107,0.00802,0.00802,0.00802
8,10023.4,0.48782,0.69664,0.97592,0.90675,0.95459,0.94517,0.87103,0.43267,0.25832,0.79196,0.00769,0.00769,0.00769
9,11255.9,0.47762,0.67611,0.97189,0.93555,0.93344,0.94986,0.87856,0.43339,0.24833,0.78966,0.00736,0.00736,0.00736
10,12491.3,0.47046,0.66154,0.96809,0.90866,0.95811,0.94894,0.88593,0.39463,0.24134,0.77913,0.00703,0.00703,0.00703
11,13725.3,0.46301,0.64764,0.96465,0.94452,0.93823,0.95373,0.8904,0.39189,0.23477,0.77759,0.0067,0.0067,0.0067
12,14962.6,0.45679,0.63138,0.96246,0.92685,0.9511,0.95416,0.89566,0.38156,0.23044,0.77418,0.00637,0.00637,0.00637
13,16198.4,0.44975,0.62134,0.95996,0.9305,0.94659,0.95405,0.89653,0.37678,0.21872,0.77364,0.00604,0.00604,0.00604
14,17435.6,0.44345,0.60843,0.95705,0.9251,0.96088,0.95563,0.89774,0.38108,0.21539,0.77204,0.00571,0.00571,0.00571
15,18673.7,0.43781,0.59304,0.95534,0.92163,0.95733,0.95254,0.89702,0.37813,0.21504,0.77097,0.00538,0.00538,0.00538
16,19910,0.43423,0.58779,0.95294,0.93271,0.95714,0.95896,0.90579,0.36977,0.21207,0.76861,0.00505,0.00505,0.00505
17,21147.4,0.42688,0.5727,0.95045,0.93475,0.96447,0.96293,0.91086,0.36675,0.19662,0.76781,0.00472,0.00472,0.00472
18,22387,0.42269,0.56373,0.9488,0.93773,0.96628,0.96206,0.91056,0.3679,0.19428,0.7671,0.00439,0.00439,0.00439
19,23624.9,0.41777,0.55485,0.94664,0.93484,0.96356,0.96379,0.91349,0.36678,0.19859,0.76615,0.00406,0.00406,0.00406
20,24860.9,0.41281,0.547,0.94725,0.94185,0.95415,0.96352,0.91431,0.36339,0.20058,0.76555,0.00373,0.00373,0.00373
21,26074.9,0.43956,0.23466,0.94467,0.93822,0.95711,0.96326,0.91647,0.35977,0.1959,0.76501,0.0034,0.0034,0.0034
22,27293.3,0.42787,0.2188,0.9363,0.92918,0.96545,0.96253,0.9183,0.35347,0.19372,0.76397,0.00307,0.00307,0.00307
23,28511.7,0.41698,0.20928,0.93455,0.93624,0.95868,0.96325,0.92136,0.34649,0.19211,0.76269,0.00274,0.00274,0.00274
24,29730,0.41093,0.2021,0.9315,0.94031,0.95527,0.96437,0.92296,0.34518,0.1895,0.76186,0.00241,0.00241,0.00241
25,30948.2,0.40501,0.19694,0.92788,0.93858,0.95845,0.96491,0.92447,0.342,0.18963,0.76096,0.00208,0.00208,0.00208
26,32167.6,0.39669,0.18774,0.92347,0.94324,0.95598,0.96535,0.92568,0.33885,0.189,0.76025,0.00175,0.00175,0.00175
27,33387.9,0.39045,0.1791,0.92106,0.93973,0.95972,0.96536,0.92645,0.3361,0.19052,0.75965,0.00142,0.00142,0.00142
28,34608,0.38314,0.17142,0.91613,0.94032,0.96046,0.96533,0.92751,0.33431,0.19324,0.75929,0.00109,0.00109,0.00109
29,35824.2,0.37801,0.16564,0.91475,0.94017,0.96001,0.96555,0.92856,0.33259,0.19414,0.75896,0.00076,0.00076,0.00076
30,37047.4,0.36994,0.15909,0.91118,0.93924,0.96024,0.96551,0.92904,0.331,0.19338,0.7586,0.00043,0.00043,0.00043
