epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3548.93,0.42121,0.60115,1.02865,0.94788,0.95616,0.963,0.92214,0.31637,0.25736,0.94549,0.00333316,0.00333316,0.00333316
2,6978.62,0.38514,0.55905,0.99701,0.94612,0.95806,0.96181,0.92123,0.31174,0.24452,0.9465,0.00643079,0.00643079,0.00643079
3,10421.5,0.40232,0.60648,1.0009,0.91979,0.94299,0.95018,0.90912,0.31792,0.27455,0.95257,0.0092927,0.0092927,0.0092927
4,13913.1,0.42082,0.664,1.00781,0.93522,0.94896,0.95636,0.91306,0.32406,0.27029,0.96125,0.00893929,0.00893929,0.00893929
5,17417.1,0.41492,0.64733,1.00618,0.95777,0.95233,0.96754,0.92495,0.3186,0.25532,0.95231,0.00858571,0.00858571,0.00858571
6,20842.1,0.40979,0.63717,1.00236,0.94797,0.9459,0.95977,0.91813,0.31019,0.24177,0.94634,0.00823214,0.00823214,0.00823214
7,24253.3,0.40562,0.62716,1.00097,0.95416,0.95058,0.95877,0.91903,0.30461,0.24004,0.94297,0.00787857,0.00787857,0.00787857
8,27640.8,0.39921,0.61611,0.99609,0.94401,0.95448,0.96357,0.92393,0.30669,0.24581,0.94281,0.007525,0.007525,0.007525
9,31100.1,0.39635,0.60728,0.99684,0.95539,0.95254,0.96818,0.92949,0.30257,0.23541,0.9416,0.00717143,0.00717143,0.00717143
10,34560,0.391,0.60017,0.99519,0.93403,0.96207,0.96793,0.93086,0.30396,0.23595,0.94161,0.00681786,0.00681786,0.00681786
11,37996.5,0.38643,0.58379,0.99149,0.95397,0.95134,0.96716,0.92998,0.29832,0.22692,0.94155,0.00646429,0.00646429,0.00646429
12,41426.7,0.38299,0.57351,0.99035,0.95496,0.94886,0.96485,0.92974,0.29305,0.22385,0.93772,0.00611071,0.00611071,0.00611071
13,44871.9,0.37682,0.56341,0.98809,0.95205,0.95498,0.96399,0.92746,0.29398,0.22255,0.93741,0.00575714,0.00575714,0.00575714
14,48305.2,0.37393,0.55776,0.98787,0.96983,0.95708,0.97102,0.9365,0.29088,0.21675,0.93588,0.00540357,0.00540357,0.00540357
15,51729,0.36972,0.54858,0.98495,0.96645,0.95189,0.9696,0.93605,0.2895,0.21416,0.93374,0.00505,0.00505,0.00505
16,55181.5,0.36437,0.54033,0.9838,0.963,0.95512,0.96909,0.93524,0.28646,0.21308,0.93255,0.00469643,0.00469643,0.00469643
17,58632.4,0.36005,0.52876,0.98187,0.96257,0.95231,0.96986,0.93636,0.28505,0.21218,0.93147,0.00434286,0.00434286,0.00434286
18,62055.6,0.35756,0.52127,0.98164,0.95549,0.96128,0.97055,0.93719,0.28325,0.21073,0.93107,0.00398929,0.00398929,0.00398929
19,65410.8,0.41655,0.2324,1.05835,0.96166,0.95308,0.96976,0.93759,0.28289,0.21171,0.92959,0.00363571,0.00363571,0.00363571
20,68777.9,0.40425,0.21687,1.04662,0.96316,0.95345,0.97116,0.93955,0.28179,0.21107,0.92861,0.00328214,0.00328214,0.00328214
21,72139,0.39601,0.20413,1.04096,0.96397,0.95323,0.97137,0.94046,0.28007,0.21087,0.92769,0.00292857,0.00292857,0.00292857
22,75520.9,0.38799,0.19696,1.03304,0.95439,0.96297,0.97205,0.94192,0.27897,0.20983,0.92718,0.002575,0.002575,0.002575
23,78906.3,0.38023,0.19065,1.02762,0.95481,0.96329,0.97162,0.94184,0.27821,0.20943,0.92691,0.00222143,0.00222143,0.00222143
24,82293.9,0.37571,0.1844,1.02569,0.95858,0.96032,0.97201,0.94231,0.27775,0.20909,0.92691,0.00186786,0.00186786,0.00186786
25,85707.9,0.36809,0.17633,1.01969,0.96379,0.95865,0.97223,0.94276,0.27722,0.20883,0.92692,0.00151429,0.00151429,0.00151429
26,89072.4,0.36276,0.17087,1.01406,0.96502,0.95855,0.97251,0.94306,0.27664,0.20831,0.9269,0.00116071,0.00116071,0.00116071
27,92445.6,0.35827,0.16514,1.01098,0.96185,0.95901,0.97246,0.94303,0.27603,0.20767,0.92704,0.000807143,0.000807143,0.000807143
28,95806.4,0.34983,0.15904,1.00634,0.96212,0.9591,0.97233,0.94293,0.27576,0.20694,0.92731,0.000453571,0.000453571,0.000453571
