epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.482,0.96642,3.73806,1.08275,0.64464,0.53153,0.57485,0.4792,0.66916,1.49944,0.99373,0.00333061,0.00333061,0.00333061
2,541.255,0.81029,1.86578,0.94989,0.77705,0.79213,0.81981,0.69806,0.65578,0.78661,0.99693,0.00633408,0.00633408,0.00633408
3,808.463,0.79448,1.47499,0.94598,0.71345,0.70128,0.74246,0.61049,0.71978,1.01196,0.99907,0.00900755,0.00900755,0.00900755
4,1101.52,0.73604,1.24872,0.94185,0.80192,0.8296,0.83523,0.70004,0.60201,0.72871,0.95715,0.008515,0.008515,0.008515
5,1419.26,0.65798,1.05056,0.93309,0.83264,0.91127,0.89535,0.78275,0.52085,0.4821,0.92383,0.00802,0.00802,0.00802
6,1791.47,0.61604,0.94602,0.92675,0.87739,0.91867,0.90843,0.82246,0.44685,0.38966,0.89793,0.007525,0.007525,0.007525
7,2166.02,0.58926,0.87231,0.92442,0.8509,0.95657,0.90725,0.80488,0.52696,0.3581,0.91684,0.00703,0.00703,0.00703
8,2548.85,0.56697,0.82499,0.92127,0.86192,0.96257,0.91467,0.83852,0.43506,0.31402,0.8901,0.006535,0.006535,0.006535
9,2907.42,0.54931,0.78829,0.91734,0.8904,0.95519,0.92529,0.85092,0.4306,0.30647,0.88944,0.00604,0.00604,0.00604
10,3195,0.53615,0.76627,0.91691,0.87611,0.95345,0.91445,0.84627,0.40761,0.28927,0.88503,0.005545,0.005545,0.005545
11,3467.76,0.52129,0.352,0.90788,0.87817,0.94687,0.92131,0.85413,0.41602,0.29054,0.8862,0.00505,0.00505,0.00505
12,3741.67,0.50401,0.31868,0.90075,0.90096,0.94992,0.94399,0.87374,0.41854,0.26754,0.88523,0.004555,0.004555,0.004555
13,4007.02,0.49034,0.29731,0.89765,0.9009,0.94498,0.93556,0.86826,0.40787,0.28828,0.88259,0.00406,0.00406,0.00406
14,4252.47,0.47692,0.27684,0.89351,0.90429,0.94365,0.94137,0.87717,0.39614,0.2728,0.87989,0.003565,0.003565,0.003565
15,4498.98,0.46884,0.26279,0.8914,0.90343,0.9468,0.93957,0.87193,0.41528,0.27217,0.88387,0.00307,0.00307,0.00307
16,4752.92,0.45846,0.24606,0.88833,0.91898,0.94966,0.9505,0.87973,0.42139,0.26846,0.88426,0.002575,0.002575,0.002575
17,5012.49,0.44609,0.23004,0.88641,0.9131,0.9519,0.94768,0.88239,0.40812,0.26266,0.88066,0.00208,0.00208,0.00208
18,5265.61,0.44013,0.21872,0.88334,0.90801,0.94937,0.94642,0.88069,0.41324,0.26902,0.8822,0.001585,0.001585,0.001585
19,5552.26,0.4296,0.2066,0.8814,0.93049,0.92393,0.94387,0.8779,0.4181,0.27925,0.8828,0.00109,0.00109,0.00109
20,5858.24,0.41953,0.19349,0.87875,0.9223,0.92703,0.94382,0.87582,0.41889,0.28589,0.88326,0.000595,0.000595,0.000595
