epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2286.5,0.34094,0.44442,0.93653,0.9575,0.94659,0.96745,0.93707,0.27488,0.2048,0.82768,0.00333299,0.00333299,0.00333299
2,4512.61,0.36346,0.4804,0.94174,0.93925,0.94734,0.96119,0.92859,0.28188,0.21346,0.82669,0.00636634,0.00636634,0.00636634
3,6719.89,0.39004,0.53807,0.94819,0.93947,0.94715,0.95966,0.92371,0.29959,0.21514,0.82894,0.00909969,0.00909969,0.00909969
4,8918.24,0.41237,0.6031,0.95565,0.93892,0.94234,0.96169,0.92463,0.29304,0.22177,0.83029,0.00865,0.00865,0.00865
5,11119,0.40961,0.59863,0.95587,0.95119,0.94821,0.96937,0.93455,0.29991,0.22428,0.83452,0.0082,0.0082,0.0082
6,13333.6,0.40347,0.58288,0.95294,0.94163,0.93158,0.95932,0.92556,0.29394,0.22088,0.83003,0.00775,0.00775,0.00775
7,15549,0.39883,0.57722,0.95277,0.95943,0.95451,0.9716,0.93955,0.28404,0.19563,0.8267,0.0073,0.0073,0.0073
8,17771,0.39356,0.56764,0.95096,0.95776,0.94898,0.96626,0.93278,0.28534,0.19772,0.82718,0.00685,0.00685,0.00685
9,19993.7,0.38915,0.5534,0.95007,0.95111,0.95369,0.96551,0.93472,0.28196,0.19497,0.82605,0.0064,0.0064,0.0064
10,22217,0.38418,0.54787,0.95064,0.95783,0.95953,0.97156,0.94035,0.27597,0.18981,0.82494,0.00595,0.00595,0.00595
11,24438.2,0.37776,0.52977,0.94757,0.95351,0.94427,0.96402,0.93437,0.27604,0.19856,0.82576,0.0055,0.0055,0.0055
12,26664.2,0.3726,0.52379,0.94646,0.96055,0.95436,0.97032,0.93998,0.27051,0.1899,0.82436,0.00505,0.00505,0.00505
13,28845,0.42454,0.2323,0.99223,0.94436,0.95399,0.96174,0.93246,0.27683,0.19537,0.82445,0.0046,0.0046,0.0046
14,31003.5,0.41035,0.21946,0.98413,0.95493,0.94587,0.9677,0.93874,0.27376,0.19045,0.82622,0.00415,0.00415,0.00415
15,33178.7,0.40329,0.20926,0.97754,0.94885,0.95303,0.96561,0.93842,0.27216,0.19455,0.82632,0.0037,0.0037,0.0037
16,35349.4,0.39703,0.20167,0.97471,0.95718,0.95271,0.9689,0.94079,0.27306,0.19375,0.82618,0.00325,0.00325,0.00325
17,37921.8,0.38639,0.19101,0.9688,0.95815,0.95244,0.96444,0.93659,0.26796,0.18876,0.82455,0.0028,0.0028,0.0028
18,40515.6,0.38059,0.18269,0.96397,0.94862,0.95918,0.96376,0.93677,0.26574,0.18888,0.82396,0.00235,0.00235,0.00235
19,42650.7,0.37575,0.17603,0.9642,0.95003,0.95707,0.96355,0.937,0.26479,0.18924,0.82346,0.0019,0.0019,0.0019
20,44720.7,0.36596,0.16614,0.95866,0.9566,0.95243,0.96295,0.93679,0.26385,0.19038,0.8231,0.00145,0.00145,0.00145
21,47052,0.3594,0.15988,0.95426,0.95461,0.95502,0.96501,0.93918,0.26285,0.19031,0.82278,0.001,0.001,0.001
22,49439.9,0.35073,0.15286,0.94974,0.95855,0.95165,0.9643,0.93874,0.26202,0.19197,0.82272,0.00055,0.00055,0.00055
